Username,Label,Text 
@edisart4,0,melanggar ham...
@JRisasta,0,"di Singkawang, suku dan umat beragama damai saja loh, pantes no 1 kalau urusan toleransi"
MajelisMusik,0,Selamat natal buat teman-teman Kristen dan Katolik se-Indonesia
@dstkpnlg,0,Sampah masyarakat
@KodimDinomo1205,0,"Gak ada manfaatnya, merugikan yang pasti."
@davano84,0,Gara2 beberapa orang yg goblok satu provinsi yg kena
@Carly_Taw,0,Kemunduran adab.
@id_footballer,1,"Pas ngatain yaman, sunda dibilang rasis. Pas ngatain jawir bilangnya becanda."
@elinghalang06,1,"ini gereja sebelah gw rame bat bangsat, apa gue prank lempar petasan kali ya?"
@martabakwidjeny,1,"Makanya banyak yg marah2, krn yg bukan islam tp punya anak hasil zina banyak bgt"
@fluvluvv,0,"Drtd ngomong anak hasil zina mulu, lu suka ngrendahin orang lain gini, paling suci lu??"
@The_Savior__,1,"Kenapa orang orang suka rasis ya, kait kaitkan dengan etnis. Mau chindo kek mau padang kek mau batak kek, itu Manusia."
@kapten32081,0,"tim sepak bola Indonesia masih bergantung dengan bule, ayo lokal jangan mau kalah"
@Darul_Ihsan__,1,Kera dimana mana selalu bikin ribut...
@rodi_mufrodi,0,Egois Nir adab Temperamental Pelit Bahil Tak berpendidikan=doh-bo
@berpendapatbisa,1,"noh liat tuh panutan lu si rizik, dasar agama paling sok, udah sok katrok lagi"
@Suhendri121416,0,"Begitu rapuh toleransi kita saat ini, , walaupun tidak semua tempat seperti ini, tapi inilah realita di lapangan"
@f_willem55842,1,Semakin lancang pada umat Islam.
@yongsheng30,0,Terima kasih Yesus hari ini diselamatkan dari kecelakaan di tol Jagorawi tadi.. bener - bener close call
@fhinoalfhian,1,"Iya teh,jelas bngt dia ucapkan ORANG SERANG, padahal BPK itu parkir di tepi jalan yg bukan miliknya dan bukan pula di depan gerbangnya.meski BPK itu salah ,ga usah sebut2 ORANG serang."
@DenasIdn1,0,Satu kata buat ibu itu : STRESS
@aimpanjaitan07,0,"Klu ini orang mati tolong tdk usah ada yg memakan kan, buang aja ke tempat sampah.."
@Ruby_R93,1,Orang serang mana tuh ? Ngomong aja CADEL GITU. MALU MALUIN ORANG SERANG AJA
@SuramaduJingga,0,Tak ada kata yg tepat utk si ibu tsb kecuali dungu
@PurnomoWiki,1,"Kgk bakal bisa , syarat wajib presiden adl beragama Islam dan punya darah Jawa"
@MaulanaSakli,1,"Apa Sudah Tidak Ada Orang Asli , Indo , SING , BERBOBOT."
@RajaMusaHidayat,1,"Semua mustahil bagi China apalagi China di dukung Partai Komunis Tiongkok, Peraturan dan Perundang-undangan Indonesia sudah jadi keset Partai Komunis Tiongkok"
AlexKvurna,1,si muslim calon pengebom rumah ibadah
@AlfatihNanda,0,"Najis !lempar k penangkaran buaya br jdi presiden buaya, mimpi lu u"
@alrosad_fadel,1,Jangan tebar isu yang ga mungkin terjadi...yang pasti presiden indonesia hanya dari keturunan jawa titik
@AJAXSWANTBS,1,"Yang nggak mungkin jd presiden indo itu nonpribuni dan orang indonesia timur , dan non muslim, jd pancasilanya baru angan2"
@Ten__Yasha,1,"SARA : Suku, Agama, Ras dan Antargolongan. Jomblo juga termasuk golongan ya kan yak? So, yang bully jomblo berarti SARA. MATI AJA KALIAN, BANGSAT!!!"
@swarnadiva11,1,kebanyakan makan babi percaya gak percaya kelakuannya pd biadab semua
@yedamlife,1,Karna jawa suka gak tau malu (gw jawa)
@Beningbuteq,1,"Tapi sebagai Jawa aku mengakui orang Jawa ngeselin Sok paling dominan, paling unggah ungguh, paling-paling dah... Susah menerapkan di mana bumi dipijak di situ langit dijunjung Sebagai Jawa aku kadang kesel... Kenapa aku Jawa... Malu iniii sama kelakuan saudara suku-ku sendiri"
@djhoedhyth_,1,"Tp maaf ya, aku keturunan jawa aja gamau ngaku sbg orang jawa"
@jopratama30,1,"Pernah dikata jawir sama orang sunda, gue diem2 aja soalnya dia lebih ireng dari gue"
@shifuyuujak,1,"ya jujur aja emang bnyk orng Jawa merasa paling dominan dan di atas segalanya krna ya nganggep paling maju di antara lain nya, jdi bnyk yg seenaknya"
@dianto_rusdian,1,iliran suku lain/sukunya sendiri kesenggol auto rame2 bilang rasis.
@itsjuicymango,1,"engga, biarin aja mereka hujat jawa kek gmn, yg jelas jawa bakal menguasai indo huahahahahahaaaaaa"
@matchamanisu,1,ni yg bikin jawir di benci. cuma indo bubar juga yang paling rugi mah jawir.
@BudimanHanif,1,Kepedean banget si lu wir wir
@xoxolofey,1,"Maafin ya menurut gue bukan org jwa aja, TAPI ORANG INDONESIA KALAU KESESAMA EMANG NGESELIN SEMUANYA, APALAGIII KALAU DI SOSMED."
@evanessca,1,"Emang anjing, Jawa dirasis mulu taiiiii"
@assaphile,1,org jawa adalah golongan orang yg paling munafik kalo tempat kerja lu di pabrik.
mcshinzle,0,"Gue dikasih angpao sama temen chindo gue, emang gapapa ges beneran tanya"
@minipuzzlee_,1,Tetangga gua namanya jawir njirt
@ammarfirda91920,1,"Inilah di semua platform. Di tiktok, fb, id, & ig pun sama. Dikit2 jawir"
fionacrisna,0,kombinasi makanan jawa dan cina emang ga pernah gagal say
vitaminu_,1,mata lu sipit banget ga bisa liat apa apa ya lu
@activMILK,0,"Selamat wisuda, teman kristenku satu satunya di univ ini HAHAHAHA"
@In1sial_S,0,pentingnya etika
HAGAnichI_I,0,tebak IQ mereka yg menghadang suporter jepang
yhozi_mamondol,1,JAWA=HAMA
werkudara,0,kenapa ya yang ngomong seperti itu rata rata akun private sama akun fake engga pernah berani pakai akun terbuka takut kena mental kah
Tik Toker,1,ga usah bawa2 suku kalo bcnda bos kalo ga mau suku anda di olok2
TEAJUS,1,suku lu gabisa apa apa akwoakwow
vizca barca❤️💙,0,"nih maknya pasti kerja di klub malam ya, sampai anaknya gini gk ada yg ngajar"
aimakjang,0,"Ayolah masa kristen sama muslim berantem mulu, damai susah banget ya?"
Kaum Adam,0,SDM PERUSAK NEGRI MACAM PKI
banesalin,1,"kalau kulit hitam gitu, kalau ga papua ya jawir gamungkin chindo"
Sunhee8889,1,itu mah perilaku si kaum kawin cerai sunda..
c٥ʷₚͦ៰ᷜ⍳٥ˢ,1,yg asli Jakarta ngak gitu yah yg kek gitu paling pendatang dari jawa
sibuknganggur6,0,"siomay asli cina daratan enak banget woy, pgn lagi"
Korean Silky Pudding | 실키 푸딩,0,SDM BEGINI YG HARUS DIMASUKIN KANDANG NUSA KAMBANGAN
meychan123,1,muka sunda dan betawi gak heran sdm nya gimana
Yes_,1,Gak semua jawa begini tapi yg begini sudah pasti jawa
kontakget,0,"Selamat berpuasa teman-teman muslim, semoga kuat seharian yaa"
keramat,0,SDM RENDAH BANGET
Arga,0,tau kan?kenapa negri kita blum maju2 itu oleh kurang pendidikan dan adab
Dee Zolss,1,dari tampilan dan mukanya pasti dari suku😏
D,0,yang ngehadang paling lulusan tk preman
f,0,GUE LIATNYA AJA MALUUUUU BANGETTT
@akuntwtke2,1,Ya emng jawa ngeselin anj
@11D_Libra,0,Aku Jawa tapi kata Jawir biasa aja sih mnrut aku.. gak ambil pusing..
@vanspyder,0,sumpah gak lucu sama kata jawir bisa-bisanya jadi bahan lelucon
@narendro0310,0,Atitude gk ada pak
@FaisholFar54073,0,Seperti nya yang tidak normal anda
@alans_kusuma,0,Samapahhh....hny mencemari pikiran kadrun2 dungu
@GumgumGumilar5,1,Bikin nama Islam tambah rusak aja....tapi ko dibiarin? Apa org org Islam memang seneng yg model begini....?
@parisvarisfaris,0,Rindu Mati kok Kon gk matek² rek
irfanGahfron,0,Semua umat yang beragama harus bisa berdamai dengan sesama dan diri sendiri
@bangS41D_,1,"Hanya di Indonesia, para Pejabat tidak takut Tuhan. Beragama tapi tak ber Tuhan"
@tweepsID,1,"Mereka KORupsi, mereka beragama ISLAM dan disumpah jabatan, TAPI pas dikasih MAKAN BABI, dibilang HARAM, TAI BUKAN."
@adhityaibnu,1,"Di indon yg punya previlage mah bukan suku jawa, tapi orang kaya bor wk"
@tukangnya_ra,1,"Sori to say, orang Jawa lebih diterima di mana aja bukan karena mayoritas. Malu, bos, lu ngaku jawa ngomong gini."
@CutSarina5,1,"Ya ilah urusan dia mau naik apa saja dia itu orang Maluku Utara ,nah lu dasar kulit babi jangan di sini wkwkwkwkw"
Ksolomuani,1,Hati-hati di bom gereja lu ama mbak-mbak berhijab
,0,"Orang2 tolol pada bermunculan, pgn viral"
@beaubitta,1,Yaman goblog
@CutSarina5,1,Kau PKI anjing
@MaxisKu7,1,Aslinya mereka benci islam tp gk mau terus terang takut di serbu..yg ngaku islam benci Arab Yaman gk ada bedanya sm kafir² harbi lainnya...
@mas_fadz,1,"Menurut sampean, Tuhan itu gampang murka? Duh tuhanmu rendahan..."
@sukri_hans,0,"Ga usah buang"" energi debat dgn mereka, ntar klo dah bebuih mulutnya diam sendiri"
amopasurya,0,"2025 semoga  semua agama (islam, kristen, katolik, budha, hindu, kong hu cu) dan semua suku di Indonesia bisa berdamai ya Alloh�."
@orangngetwiter,1,Asu peking piaran cina komunis menggonggong seperti itu ...
@Zulham20852389,0,"Itulah Indonesia,semua bisa bertindak sesukanya"
@AdhityaVik98837,0,Semoga saja para Dajjal dilaknat Allah beserta seluruh keturunannya
@widagdo_agung,1,Kadang heran..ada muslim yg benci bau² arab..kok gada bangga²nya jd muslim..maklum jd muslim jalur keturunan..heraaaaannn..
@dabolaww,1,Orang idiot dungu yg hina Yaman
@AmyNadaa31333,1,Mereka kaum yg gak berfikir
@MarSol6606,0,Semoga mereka yg memfitnah akan dipanggang abadi di Jahanam.
@Musramidal67,1,Hanya kaum KAFIR dan MUNAFIK saja berani menghina
@bernadera,0,WOW GANTENG BGT !!
@ko_setan,1,Agama jembot..
@onthesbrew,1,CHINA NGENT*T !
@aimakdres,1,ISRAEL GOBLOK PENJAJAH GAK TAU DIRI #ALLEYESONRAFAH
@Siputty1,0,Dimana mana orang yg melakukan tindakan pidana hrs di proses
@minpageant,0,"Semenjak  jawa timur kemarau, kulit ku jadi hitam sebelah woii, ada info sunscreen bagus gakk"
@mrbrew_,0,"keluarga gw campur cina islam dan jawa hindu aja masi bisa toleransi, masa kalian dari keluarga yang satu agama gak bisa guys"
@tanggal_tiga,0,Pilih kasih
@iam_helel,0,Kehilangan jabatan bisa buat gila yah
@kaummenep,1,"orang dayak isinya cuma orang gila budaya,menolak kemajuan negara habisi aja"
@baguspermono5,0,"Duuuh...seneng nya klo dia masuk jeruji itu, agak2 tenang, gk ada yg ribut2..."
@kebon_kadu,0,"bacot Lo ngomong seenak udel Lo,kalau bukan gerombolan Lo,Lo hantam gitu kan anying!!!"
@satriapemarah,1,"banyak belajar lagi ya, apalagi ttg agama, agamamu agamamu, agamaku agamaku, kenapa semua agama anda musuhi"
@yudianaputra7,0,"Lah anda duluan yg nyenggol dokter kok kayak gitu,,kebih pinter bocah SD sepertinya dengan pemikiran seperti itu,tapi titel nya dokter tapi otaknya,,ahh sudahlah..."
@gelarbuana,1,Dia musyrik dok boro² muslim..
@Hyperkyu86_,0,Ini emaknya siapa sih? Apa anaknya nggak malu ya?
@IrengTeratai,0,Bila gak ngerti kejawen mingkem cocote cuk.
@tiutwk,1,Kejawen beda ama muslim goblok
shrents,0,Aku lagi belajar kebudayaan Jawa yang keren banget woiii
@Abdy08588140,1,Si bacot perusak negara
@HendroSwito2,1,Lu Islam kan?mana ajaran yg membenarkan hal tersebut???jilbab lu bukak aja
@TSiotong,0,Ngeles terus utk bela diri kau tolol..
@urimahskt,1,"jilbab lu tuh kagak guna bangsat, lu aja masih minum miras tolol malu"
@Bamseuropa,0,"Sekelas dokterpun kalau dah fanatik akut..jadi hilang akal sehatnya, tak lagi mampu berpikir secara komprehensif ,yang terisi bayangan dan iliusi dlm pola pikirnya.."
@PangeranBiru212,0,Dia sombong nantangin adzab Allah.
@revanolikesyou,1,Diam kau mulut busuk kebak kopet asu
@yanuarabadi33,0,Lihat saja orang begitu nasibnya gimana besok.
@udinkampreto,1,Negara ini sedang proses islamisasi Nusantara.. Mengkerdilkan Pancasila..
@_gobangAHMAD,1,"Kecewa banget saya sebagai muslim, kenapa ada orang seperti itu?"
@Renezance201,1,"Hebatnya org kristen, bahkan doanya pun bisa menggetarkan iman orang islam dan bikin mereka pada ketakutan hahaha makanya ibadahnya orang kristen selalu dibubarin karena orang islam takut imannya goyah wkwkwkwk"
@Ari_koto01,1,Umat Kristen kok sering gitu ? Ibadahnya sering cekcok dengan warga
@ms_ade1,0,"pola pikir primitif, sdm rendah"
@JulianLowo,1,udah pasti penyembah blackbox muslim ini sangat primitif
@simsimtgl,1,gara gara tdk beribada pd muhamnat.. agana lain dilarang... dasar mreka agama brengsek
@Wa01doank,0,Entah kapan sadarnya gerombolan orang2 spt ini..
@mahendra_f,0,Ngisin2i wong darjo cok!
@AnimismeL,1,Ntar kelakuan si mayo ini disentil langsung teriak2 islamphobia
@emmii_bijak,1,Dasar hukum kaum intoleran membubarkan ibadah minoritas
@nggragasskoe,0,Warganya aja yg bego...mau aja dikadalin terus
@Mashudi89834212,0,Sy masih sehat dan berfikir logis...nalar anda tidak masuk akal
@SomarwaneSefnat,0,Licik + munafik orangnya
@BakmiSow88,0,"Selamar ulang tahun, presidenku semoga selalu dalam lindungan Tuhan"
@lilibujikan,0,"Kalau makan jangan lupa berdoa, apapun agama kalian guys"
@Ratu31195942,0,Manusia seperti ini tidak bisa di jadikan pemimpin
@AimbinesMom,1,"Yang blg cina dibilang sara, lah yg blg begini mendadak mreka mrasa layak, herman"
@ata_namakecil,1,Kentara banget phobi kerudung ...
@MerahPutih1945A,0,"Ooooo... ini akademisi kurang ajar. Diksi-diksinya kurang ajar... SARA, menghina, merendahkan.... akademi bangsat ini"
@sempakDAR,1,"gua lagi beli ornamen imlek disuruh majikan, gak dilayani sama penjualnya dikira gua pingin jadi sok cina , tai emang gua bom tuh pecinan lu bangsat"
@LilyGunawan9,1,Muka nya aja keliatan manusia kejam..komunis TDk punya tuhan
@GincuMerah8,1,Kok masih ada ya manusia zaman flinstone di zaman sekarang
@dodongkalhaneut,0,cerdas otak tidak berbanding lurus dengan cerdas hati..
@HermanNapit7,1,"Emang Biadap , Dasar Kafir"
@Priyo__Muhammad,0,Bahasanya seakan akan dia manusia yang berakal dan beradab
@RFauzy5,0,"Gelar Berjibun, Isi kepala ketimun."
@Mbahhardiman,0,KELADUK WANI KURANG DUGO PROFESOR GOBLOK POL PENTOK
@kaidirmaha68,0,Bahaya kalau otak laknat kek dia ini jadi Rektor
@Priharyanto6,0,Ngomong gitu di depan ustri dan anak cewek gue. Patah tuh leher.
@MrGopalll,1,Ckckckck org jawa mang punya privilej apa sich?
@JanuarAde,0,"Selamat hari sumpah pemuda, baik hitam putih kuning perempuan pria kamu tetap bagian dari kemajuan bangsa kita"
@mas_bud12,0,"Gelar doank panjang, otak pendek, ehhhh"
@kunyilstipen,0,"Madura ternyata punya pantai tersembunyi yang masih eksotis, wajib berkujunjung buat kalian pecinta vitamin see"
@WinKurniaW4n,0,Padahal kalau menerima perbedaan agama mudah banget pasti ketemu solusinya
@BCiliwung98033,1,Karena mereka bodoh dan tolol jadi mendukung kunyuk-kunyuk zionis...
@Sirqieee,1,Kafir2 tolol pura2 ga liat!!!
@Kivlanov,0,Muka lu yang munafik
@RioFikaizart3,0,"para PENGECUT, DASAR OTAK2 Perusuh"
@jzaiphula,1,minimal kalau udah hitam itu kulit tolonglah kagak usah banyak bacot
@RAJ_tamon69,1,yg tetap kemakan sama jualan agama berarti masih bego ga pinter2
@james_salibana,0,Sombong angkuh dan congkak serta merasa diri paling suci. Pada hal bergelimang dosa. Awal dari kehancuran
@Bukan_Mukibin,0,Omongan setan
@Adian85765055,1,Ustad yg model begini merusak agama islam dan merusak tatanan demokrasi
@Perima_ID_,0,Koplok si naen .....harus ditangkap ini manusia bejat
@Lamber_Adonara,1,"Ustad jenggot putih pelir hitam , tuhan bingung surga atau neraka"
@AydinMoenaf,1,Ah silit ajaran kasih.. Asu kafir!!
@painapplesugar,1,"Iya si ga bawa kristen, tpi lgsung suku"
@tobing_mike,1,Saya yg Kristen memang lihat Orang Kristen mah emang OMDO
@Slamet_24wiro,1,Akun tolol yg benci dg islam
@Sito90514381,1,Islam di hina di permainkan dan di adu domba sejak Soekarno dah
@SharenHutabara7,1,"Laporkan propokator ini, telah mengadu domba agama islam"
@Astajimmmmmm,1,Kafir model bgini yg dipuja2 kadrun dongo
@WartoYudo,0,"Orang ga ada akhlak, bikin malu aja."
@GYatmoko,0,"Mahasiswa goblok, kapir dipuja...itu acara demo apaan?."
@dewasasedari,1,dewan perwakilan rakyat (DPR) atau dewan penyengsara rakyat? anggota komisinya goblok semua gak ada yang layak
@c10k_ecy,0,Nah kalau gini kan enak ya
@abuqhalid,0,Dua kata... Munafik dungu.
@FarrelAb_,1,"Berlebihan seh ancen, padahal jowo yo akeh seng koyok asu"
@mukhidjan,0,Guru binatang... Kelamaan gaul ama onta
@imabandaids,0,Minimal kalo tolol diem aja
@zamwerd,0,Ya mau apa yg diharapkan juga dari lu yg sama sama literasi rendah
@pisang_holeng,0,Kamu ngetik kaya gitu mikir engga sih
@guesswho1333,0,"Sender goblog anak monyet,mending sekolah lagi deh jangan bikin malu"
@rist_spait,1,SN ini beragama iblis....titik.
@aluvardpro,1,dasar agama pengebom handal pinginnya cuma sex sama malaikat
@i_mokoginta,1,Sdh tau istilah pri dan non-pri di +62 dipakai unt membedakan unsur ras
@abu_syfa,1,"Cina di indo harusnya bersyukur banget. Kalau balik ke negeri Cina komunis, bakalan jadi kuli deh.."
@ntijamet,1,"Gak ngaca apa diskriminasi etnis di perusahaan2 milik cina kayak bca, posisi sama tp gaji beda"
@paksudarlie,1,"DPR isinya iblis semua, tempat paling tidak suci setelah Tel Aviv"
@PujasAgeng1,1,"Mungkin org Kristen-nya bloon2, bedain halal haram aja ga ngerti"
@mbahliem24,0,"pokoknya pecundang,nggak bakal jujur."
@EddyTan42,1,"tudingan SARA Hanya buat muslim, selain muslim gk brlaku"
@sundaryie,1,Klo muslim ga bOLeh ya bangga dgn agamanya .. kemudian di bilang SARA. Tp mereka boleh.. krn solidaritas. MATAMU!!!
@cakipli_mdn,1,"medan dibawah pemerintahan mantu mulyono malah hancur lebur, tolol emang"
@Amrizaldy511,0,"Sangat mental kacung diperlihatkan sama bekingan, padahal pangkat begitu jgn mau di hargaii pakai duit"
@dantull_viruss,0,"masa pandemi dulu, indonesia adem ayem sekali jadi kangen"
@RakaRafael96,1,berita terikini cina yang suruh gonggong anak :
@ranarvmee,1,"Gara"" oknum kaya lu cindo masih dijadiin minoritas. Jangan mancing"" netizen lah . Kalo punya masalah mental sebelum keluar rumah minimal konsul psikolog lah . Kan lu orang kaya. Duit di pake buat sehatin fisik sama psikis. Kalo kaya gini kan setara agus jadinya"
@nattvgn_,1,bawel lu jawa
@nda7330,0,"Ancaman belaka bro, aparat di kemana in. Kan aparat tegas sekarg"
@Sagemuly,0,Itulah akibat rakyat tidak melihat kehadiran pemerintah
@nattvgn_,1,diem lu cina !
@Ario97447961,1,Wuih.....pasukan babi cina mana kalian ayo tuanmu diancam wkwkwwk
@PRASETY62585094,1,Buktikan dong ...!! Jangam asal ngacam tak terlaksana. Hahahahaha takut ya sama china
@diptanova,1,Ini maksudnya yg diancam WNA China/ WNI keturunan Cina?
@IrwanSt11,1,Seperti yg dilakukan vietnam walaupun dlm persenjataan kalah dari chino tapi strategi mereka mengusir semua warga dan keturunan chino dari vietnam akhirnya klepek2..
@siswt888,0,Ini bentuk cinta nkri
@hanafi10829579,1,"boleh juga tuh sweeping warga Cina perusak di negara ini, tadi siang di jalan NIMUN RAYA tanah kusir rumah orang cina ke tangkap menyimpan ganja 1 ton,ini yang harus di hukum mati si negara ini."
@mat_sodor,0,BANserep yg sering latihan perang malah kalah Nyali
@IsmailMSH2,1,Tidak semua org keturunan tionghoa setuju dng pemerintah RRC faktanya di Hongkong dan Taiwan mrk melawan pemerintah Cina..
@Kuzno5,0,"Bagus ini namanya pemuda, harus tegas"
@Maskumara,0,"Ngidam punya pacar chindo, pasti selalu diajak makan kue bulan"
@Rafli57104975,1,Ingat boong jgn selalu bangga bangga kan kaum cina...
@Pejuang85468485,0,HP buatan cina masih kredit mba?
@IbnuAbdillah333,1,Musnah China2
@SahraAhli,0,Muantafff
@AdiMDalimunthe,0,"Mudah2an sangar bukan karena belum kebagian ""jatah"". Proposal belum cair. LANJUTKAN!!"
@aimtal,0,"Mahasiswa yg hrs belajar ngucap Indonesia, bukan Indonesa"
@santritobat555,0,Smoga ga d ciduk intelejen
@ance_top,0,Top...! Ormas yg lain jg hrs ikut...!!!
@hemaviton99,1,bagus aza klo sweeping warga china....hahaha sweepingnya di lokasi hutan..tambang...
@p_priyambodo,0,Bangga sebagai alumni menwa bisa belajar mencintai negara sepenuh hati
@didit_norton,1,"Jumlah c1n4 di endonesa puluhan juta, mau ape loe... ape ape apee..."
@CutSarina5,1,"Kurang ajar Cina bangsat,sebuah vidio di sebuah restoran di Cina memperlihatkan kalimat syahadat di cetak di atas ubin ,bangsat nich yg di bangakan sama paling NKRI negara Komunis"
@thekruwils,0,Dimana tuh?
@RajaMusaHidayat,1,Umat harus siaga terhadap China Komunis
@King_Robeta11,1,Klo pernah nonton kungfu hustle pasti faham ada pelecehan thdp simbol Islam.. Ada di menit awal film.. Cina dari dulu memang udah memusuhi islam
@Centre7th,0,"Astaghfirullahal Adzim Insya Allah segera terungkap, segera diadili dan dihukum seberat beratnya, sebelum ummat bertindak"
@kemitris,1,Mari lakukan dakwah nubuwah segera ke seluruh China. Atheis bisa hilang tidak bersisa di China. Atheis hanya kegelapan yang akan sirna dengan sendirinya bila cahaya iman islam datang menerangi. Ulama apa masih ada yang faham akan hal ini? Siapa?
@apaanituu,0,"Bangsat sekali mereka koq bun, gak kapok kapok kena ujian"
@RebornElang,1,"Lagi di Indonesia Aja Orang Berani Menistakan Agama Islam, Apalagi di Sana Pusatnya Komunis Tambah Aja Kurang Ajarnya"
@de_zoffi,0,Ini sih tinggal tunggu azab langsung dari Allah. Semoga disegerakan ! Yang gak habis pikir mau-maunya penguasa RI mau jadi kacung manusia-manusia tak punya adab.
@tulusberjuang,1,Astaghfirullah Komunis bangsatttttt
@arkulu,0,Rezim sekarang memang kerjasama dengan partai komunis cina
@dol18263987,1,"bangsat moga2 kena bencana lo,gk abis2 y nyakitin islam"
@AlwiPapah,1,Biadab cina
@AbudanAzis,1,China adalah Kaum ya'juj dan Ma'juj. Kaum Perusak. Wajah PETAK. Mata Sipit. Sudah Saatnya Indonesia Memboikot China...
@CaveMan191919,0,KITA SATU RUMAH HARUS BERSATU DULU BARU TETANGGA BISA KITA BANTU
@RachmatBawono,0,Astaghfirullah
@HaraMondji,1,"China laknatullah....tunggu azab tiba. Aamiin, Qobul"
@Jonidi13,0,Ngajak ribut...
@CYaqin,0,"Di rezim ini, tampak mencolok banget nglunjak nya Cut..."
@sirojulhudaa,0,Tunggu kehancuran Negaranya..
@diki73552154,0,Ayo di viral kan biar malu tuh cebong
@herryjambul,0,"Kalau belum tahu pasti tempatnya jangan share, tak baik untuk emosi juga bermasalah kalau terjadi gesekan."
@Nazarjuli16gma1,1,Negara dan warga nya sama sama haramjadah
@P4b10_420,1,"Jika Ingin Menguasai Orang Bodoh, Bungkus yang Batil dengan Agama IBNU RUSYID"
@Rifki051201,1,Calon pemimpin oligarki selanjutnya ni yang menindas rakyat dengan kekuasan 11 12 sama saat ini
@Jayud9,0,Ooo bgtu ...hal yg menyedihkan di saat niat datang bersilaturahmi harus di putus dgn emosi dan ambisi..
@salivakarno,0,"gue udah 20 tahun tapi kagak bisa pimpin doa di gereja, maafin ya tolol bgt gue"
@valexiax0,0,restoran cina di deket pangsud kalau nyajiin makanan sopan bgt woi mana makanannya enak banget
@leonidz78,0,"Intruder itu sangat banyak di indonesia, rapuh pertahanan negara."
@DukuhYunuz,1,Cina lagi cina lagi ...bagong emang bikin masalah mulu
